per,k,i,j,q,boundname
0,8,377,45,-30.13716129302413,wel_404650
0,8,382,54,-18.807354654028984,wel_404661
0,8,134,134,-36.563810668107266,wel_404663
0,8,106,95,-5.674230822219028,wel_404675
0,8,563,144,-27.723410866549585,wel_404676
0,8,69,142,-33.57900979724137,wel_404680
0,8,286,56,-4.9746681181098324,wel_404681
0,8,387,39,-0.6114696228510003,wel_404697
0,8,237,93,-78.35102286022986,wel_404700
0,8,343,11,-8.602030287564919,wel_404718
0,8,343,14,-133.69420567420175,wel_404719
0,8,343,11,-32.128064929459335,wel_404720
0,8,344,10,-0.9845697317092377,wel_404721
0,8,145,65,-49.24921436928734,wel_404726
0,8,147,64,-49.24921436928734,wel_404729
0,8,147,57,-84.05945452576088,wel_404730
0,8,120,129,-2.807412496887633,wel_404780
0,8,110,28,-1.8655005442911872,wel_404782
0,8,110,28,-0.5830725590101232,wel_404784
0,8,544,268,-46.915784105136446,wel_404821
0,8,577,103,-27.10390922746622,wel_404845
0,8,610,185,-0.4145556765091527,wel_404847
0,8,609,185,-124.36670295274581,wel_404848
0,8,612,190,-259.09729781822045,wel_404854
0,8,555,110,-6.8132225434279245,wel_404855
0,8,538,145,-0.7384272987819283,wel_404856
0,8,498,182,-259.09729781822045,wel_404884
0,8,558,299,-133.12230539067355,wel_404885
0,8,159,67,-192.77690869590825,wel_404895
0,8,557,112,-13.626445086855849,wel_404908
0,8,391,26,-1.14002811040017,wel_404954
0,8,391,30,-1.0363891912728818,wel_404955
0,8,388,21,-3.2646259525095775,wel_404961
